Resu,270
esum,3516
sump,5082
umpt,5263
mpti,8479
ptio,32675
tion,1382095
ion ,1096913
on o,278467
n of,237354
 of ,1816804
of t,715959
f th,718701
 the,4125362
the ,3579918
he s,243402
e se,76478
 ses,3725
sess,20254
essi,59166
ssio,302985
sion,437346
"ion
",917
I de,1708
 dec,76278
decl,11137
ecla,11055
clar,18737
lare,4059
are ,406298
re r,26783
e re,275616
 res,240118
resu,39664
sume,30263
umed,2563
med ,26882
ed t,301422
d th,444918
he E,295143
e Eu,220576
 Eur,401095
Euro,413097
urop,405550
rope,418910
opea,304802
pean,304853
ean ,316556
an P,54250
n Pa,58493
 Par,132470
Parl,126281
arli,146288
rlia,140634
liam,140702
iame,140769
amen,207493
ment,753333
ent ,583161
nt a,103253
t ad,11450
 adj,4059
adjo,776
djou,908
jour,4303
ourn,5008
urne,4868
rned,26682
ned ,85254
ed o,80750
d on,66917
 on ,487462
on F,5913
n Fr,4637
 Fri,1688
Frid,1335
rida,1390
iday,2185
day ,36226
ay 1,821
y 17,97
 17 ,1864
17 D,134
7 De,220
 Dec,9348
Dece,6873
ecem,6932
cemb,6793
embe,178471
mber,215722
ber ,165493
er 1,4271
r 19,3640
 199,21391
1999,5905
"999,",1219
"99, ",1324
"9, a",561
", an",211802
 and,1435079
and ,1452299
nd I,47450
d I ,43793
 I w,76406
I wo,78355
 wou,169132
woul,168746
ould,369682
uld ,363310
ld l,73617
d li,75105
 lik,108100
like,110928
ike ,104887
ke o,9594
e on,133700
 onc,15884
once,91593
nce ,221697
ce a,60073
e ag,52521
 aga,70520
agai,70552
gain,78319
ain ,92120
in t,473508
n to,137984
 to ,1680679
to w,36667
o wi,15524
 wis,28022
wish,26415
ish ,67576
sh y,917
h yo,8202
 you,165926
you ,105330
ou a,17517
u a ,909
 a h,18233
a ha,9914
 hap,21658
happ,21989
appy,4691
ppy ,4505
py n,26
y ne,15199
 new,77445
new ,72369
ew y,2689
w ye,2662
 yea,75036
year,77700
ear ,82172
ar i,13745
r in,70237
 in ,1089080
n th,851516
he h,47246
e ho,23959
 hop,37772
hope,37116
ope ,92025
pe t,28571
e th,602275
 tha,962769
that,879619
hat ,980874
at y,14666
t yo,19510
ou e,1194
u en,280
 enj,4053
enjo,4057
njoy,4036
joye,917
oyed,6768
yed ,9948
ed a,154470
d a ,62302
 a p,80130
a pl,3222
 ple,20354
plea,15079
leas,36746
easa,747
asan,861
sant,980
ant ,144303
nt f,33011
t fe,7031
 fes,190
fest,1871
esti,95456
stiv,636
tive,260379
ive ,240061
ve p,28283
e pe,48209
 per,84560
peri,33646
erio,41740
riod,14426
iod.,1620
"od.
",4564
Alth,5093
ltho,15427
thou,67712
houg,32005
ough,101311
"ugh,",5374
"gh, ",5837
"h, a",7897
", as",84249
 as ,321586
as y,7121
s yo,13022
ou w,13249
u wi,7897
 wil,269079
will,269575
ill ,298708
ll h,28530
l ha,31381
 hav,372606
have,359298
ave ,367437
ve s,40525
 see,72094
seen,10314
"een,",1415
"en, ",52323
"n, t",43353
", th",357117
he d,140330
e dr,14223
 dre,2783
drea,2192
read,59671
eade,9318
aded,1962
ded ,78671
ed ',2290
d 'm,127
 'mi,190
'mil,39
mill,21947
ille,15884
llen,28232
lenn,1773
enni,2023
nniu,1737
nium,2575
ium ,6705
um b,601
m bu,1119
 bug,73
bug',2
ug' ,25
g' f,25
' fa,197
 fai,27230
fail,14867
aile,8756
iled,9361
led ,56106
d to,283414
to m,75968
o ma,51822
 mat,45059
mate,33586
ater,50984
teri,34289
eria,20703
rial,22691
iali,12666
alis,52768
lise,16475
"ise,",5827
"se, ",49609
"e, s",13377
", st",7136
 sti,41034
stil,35973
till,35454
ll t,84161
l th,89853
he p,286007
 peo,78080
peop,78452
eopl,84450
ople,84490
ple ,90374
le i,33870
e in,327170
in a,103195
n a ,83825
 a n,40846
a nu,14586
 num,34352
numb,31265
umbe,32313
er o,81776
r of,93224
of c,100274
f co,71061
 cou,218719
coun,164084
ount,176896
untr,129577
ntri,111684
trie,94245
ries,119399
ies ,255578
es s,30855
s su,42519
 suf,16808
suff,19209
uffe,8991
ffer,56762
fere,65523
ered,30507
red ,79724
 a s,103211
a se,16553
 ser,64721
seri,26768
erie,26870
es o,132105
s of,377494
of n,20970
f na,6202
 nat,63682
natu,19328
atur,27485
tura,46686
ural,56419
ral ,115324
al d,39993
l di,19508
 dis,125277
disa,24465
isas,9437
sast,8153
aste,24727
ster,58524
ters,35502
ers ,167328
rs t,31067
s th,429070
at t,349508
t tr,11661
 tru,22420
trul,3724
ruly,3759
uly ,7124
ly w,38013
y we,28724
 wer,51132
were,53038
ere ,257456
re d,31765
eadf,639
adfu,491
dful,963
ful.,2071
"ul.
",2231
You ,11485
ou h,13909
u ha,13385
ve r,25061
 req,44592
requ,48799
eque,34566
ques,69752
uest,72509
este,24408
sted,18181
ted ,307122
 a d,49910
a de,22819
 deb,57465
deba,54714
ebat,55131
bate,53817
ate ,225697
te o,42795
on t,363118
 thi,545343
this,451296
his ,548861
is s,74094
 sub,59467
subj,21551
ubje,23458
bjec,55042
ject,86828
ect ,94327
ct i,13863
t in,156986
he c,256599
e co,283593
cour,57304
ours,53374
urse,45973
rse ,23198
se o,68213
e of,355775
he n,109301
e ne,135270
 nex,22896
next,23066
ext ,41206
xt f,2793
 few,21102
few ,19014
ew d,5553
w da,2257
 day,17216
days,7630
"ays,",3710
"ys, ",4064
"s, d",5985
", du",3568
 dur,18450
duri,17660
urin,36318
ring,115769
ing ,1187859
ng t,355517
g th,237090
is p,72056
s pa,25493
 par,181282
part,160960
art-,2979
rt-s,2492
t-se,2127
-ses,2087
ion.,150542
"on.
",153980
In t,30877
he m,133812
e me,51158
 mea,93898
mean,45856
eant,3450
anti,26673
ntim,2744
time,97721
"ime,",19211
"me, ",31997
"e, I",14999
", I ",134341
 I s,37645
I sh,35584
 sho,201914
shou,160183
houl,160950
ke t,114081
e to,386199
to o,31126
o ob,5002
 obs,14590
obse,9051
bser,9154
serv,65976
erve,29736
rve ,9428
ve a,116261
e a ,123007
 a m,56830
a mi,7818
 min,39379
minu,4815
inut,9607
nute,9565
ute',375
te' ,501
e' s,2689
' s ,17934
 s s,1227
s si,18495
 sil,2143
sile,2359
ilen,1879
lenc,12560
ence,138794
"nce,",23956
"ce, ",43930
"e, a",63658
as a,119183
s a ,174379
of M,17837
f Me,5598
 Mem,132520
Memb,136563
bers,42306
rs h,11685
s ha,86945
"ted,",18773
"ed, ",82555
"d, o",8996
", on",51574
on b,65284
n be,81963
 beh,33756
beha,27022
ehal,23450
half,29599
alf ,28235
lf o,25677
f of,28054
of a,130959
f al,23268
 all,197541
all ,201083
he v,52199
e vi,21407
 vic,10848
vict,12065
icti,21519
ctim,8676
tims,7251
ims ,11944
ms c,2213
s co,104840
 con,504461
conc,109587
ncer,68288
cern,59950
erne,26784
"ned,",13426
"d, p",3323
", pa",15797
arti,98279
rtic,90236
ticu,61769
icul,111419
cula,67984
ular,69776
larl,30148
arly,56249
rly ,61080
ly t,82050
y th,223317
 tho,83285
thos,58624
hose,71888
ose ,99526
he t,98989
e te,30689
 ter,57633
terr,35097
erri,14797
rrib,2075
ribl,2068
ible,77879
ble ,204685
le s,16394
e st,80747
 sto,18774
stor,23908
torm,803
orms,14067
"rms,",4234
"ms, ",12606
"s, i",47174
", in",133669
e va,15997
 var,19378
vari,18829
ario,17628
riou,41121
ious,77060
ous ,87532
us c,10512
an U,95388
n Un,95691
 Uni,152484
Unio,127764
nion,158273
Plea,1343
ease,55918
ase ,53197
se r,15634
e ri,44207
 ris,24777
rise,26454
"e, t",64289
then,45788
"hen,",6109
"n, f",7314
", fo",50275
 for,682155
for ,565232
or t,220888
r th,324990
is m,47892
